epoch,stage,accuracy,val_accuracy,loss,val_loss
1,Stage 1,0.8891870975494385,1.0,0.2268654704093933,0.13163959980010986
2,Stage 1,0.941717803478241,0.875,0.13767829537391663,0.24163879454135895
3,Stage 1,0.9470859169960022,0.8125,0.13343562185764313,0.20342060923576355
4,Stage 1,0.9553297758102417,1.0,0.11220646649599075,0.11136753857135773
5,Stage 1,0.9583972096443176,0.9375,0.10462034493684769,0.14602528512477875
6,Stage 1,0.9570552110671997,0.875,0.11124059557914734,0.1993175894021988
7,Stage 2,0.9440184235572815,1.0,0.13061754405498505,0.11216001212596893
8,Stage 2,0.9495782256126404,1.0,0.11619029939174652,0.09072699397802353
9,Stage 2,0.9574386477470398,1.0,0.10615414381027222,0.08726880699396133
10,Stage 2,0.9583972096443176,1.0,0.1027441918849945,0.07284513115882874
11,Stage 2,0.9587806463241577,1.0,0.10054994374513626,0.07403448224067688
12,Stage 2,0.962806761264801,1.0,0.08928558230400085,0.0698745995759964
